국가(대륙)별,상품군별,판매유형별,2014.1/4,2014.2/4,2014.3/4,2014.4/4,2015.1/4,2015.2/4,2015.3/4,2015.4/4,2016.1/4,2016.2/4,2016.3/4,2016.4/4,2017.1/4,2017.2/4,2017.3/4,2017.4/4,2018.1/4,2018.2/4,2018.3/4,2018.4/4,2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4 p)
유럽연합+영국,서 적,면세점 이외,,,,,,,,,,,,,47,30,50,66,62,70,71,68,59,55,48,95,72,127,150,165,261,186,224,278,201,332,234,135,148,131
유럽연합+영국,사무·문구,계,,,,,,,,,,,,,22,21,780,12,27,17,9,13,11,11,4,10,8,8,4,5,17,13,21,12,20,7,8,19,32,6
유럽연합+영국,사무·문구,면세점,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽연합+영국,사무·문구,면세점 이외,,,,,,,,,,,,,22,21,780,12,27,17,9,13,11,10,4,10,8,8,4,5,17,13,21,12,20,7,8,19,32,6
유럽연합+영국,음반·비디오·악기,계,,,,,,,,,,,,,841,779,1173,1437,1400,1419,1808,2120,1958,2350,1502,2697,2728,2636,2958,3770,3103,2702,2186,1640,1107,2139,1156,915,578,3277
유럽연합+영국,음반·비디오·악기,면세점,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽연합+영국,음반·비디오·악기,면세점 이외,,,,,,,,,,,,,841,779,1173,1437,1400,1419,1808,2120,1958,2350,1502,2697,2728,2636,2958,3770,3103,2702,2186,1640,1107,2139,1156,915,578,3277
유럽연합+영국,의류 및 패션 관련 상품,계,,,,,,,,,,,,,1049,973,971,1098,1230,1056,886,942,985,1054,793,862,813,1765,1276,1274,1498,1997,1323,1407,1599,2096,1223,1256,792,983
유럽연합+영국,의류 및 패션 관련 상품,면세점,,,,,,,,,,,,,13,8,10,14,25,21,17,12,15,22,12,15,6,0,0,2,2,5,2,1,20,2,8,7,4,2
유럽연합+영국,의류 및 패션 관련 상품,면세점 이외,,,,,,,,,,,,,1036,965,961,1084,1205,1035,869,930,970,1032,781,847,807,1765,1276,1272,1496,1992,1321,1406,1579,2094,1215,1249,788,981
유럽연합+영국,스포츠·레저용품,계,,,,,,,,,,,,,179,153,108,200,233,198,173,204,215,192,805,212,211,192,418,476,452,201,279,362,300,15,18,298,301,18
유럽연합+영국,스포츠·레저용품,면세점,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽연합+영국,스포츠·레저용품,면세점 이외,,,,,,,,,,,,,179,153,108,200,233,198,173,204,215,192,805,212,211,192,418,476,452,201,279,362,300,15,18,298,301,18
유럽연합+영국,화장품,계,,,,,,,,,,,,,2506,2362,1986,2686,3433,2815,2564,2993,3337,3487,2105,3912,3108,1988,1867,1524,1449,1307,780,526,214,393,283,303,270,349
유럽연합+영국,화장품,면세점,,,,,,,,,,,,,143,70,61,176,411,71,61,71,206,436,214,179,283,337,329,14,15,4,5,8,4,2,10,11,12,10
유럽연합+영국,화장품,면세점 이외,,,,,,,,,,,,,2363,2292,1925,2510,3022,2744,2503,2922,3131,3051,1891,3733,2825,1651,1538,1510,1434,1303,775,518,210,391,273,292,258,339
유럽연합+영국,아동·유아용품,계,,,,,,,,,,,,,316,259,275,343,347,292,287,374,329,312,195,417,367,316,284,387,587,440,393,132,7,6,5,32,14,17
유럽연합+영국,아동·유아용품,면세점,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽연합+영국,아동·유아용품,면세점 이외,,,,,,,,,,,,,316,259,275,343,347,292,287,374,329,312,195,417,367,316,284,387,587,440,393,132,7,6,5,32,14,17
